ID,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,notes,hash
1,AK,314,1,1,1,1,A,4,9341,0,39,36,0,0,0,0,147,01/04/2018 14:15,01/04/2018 15:09,9,36,9655,9655,9655,2,2020-04-18T18:15:00Z,2020-04-18T19:09:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",363f0fd82439b801b085e6b3371f7655b02592b8
2,AL,4723,1,1,0,1,B,3,37883,0,0,620,0,247,0,148,0,01/04/2018 00:00,01/04/2018 22:13,147,620,42606,42606,42606,1,2020-04-18T04:00:00Z,2020-04-19T02:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d9a1b4e0f0d5c2ce4470c5e29fe02b1df29639ff
3,AR,1777,1,1,1,1,A,4,22428,0,93,291,0,0,23,57,719,01/04/2018 15:41,01/04/2018 23:24,38,291,24205,24205,24205,5,2020-04-18T19:41:00Z,2020-04-19T03:24:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a2a34e8451646d52aec40d914139d14c4e2ea4e3
4,AZ,4719,1,1,0,1,B,3,46326,0,566,0,285,0,178,0,539,01/04/2018 00:00,01/04/2018 15:25,177,0,51045,51045,51045,4,2020-04-18T04:00:00Z,2020-04-18T19:25:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6f5351e769c581777aba8523f997e8eed562fbea
5,CA,28963,1,1,0,1,B,3,230703,7200,4936,0,1490,0,0,0,0,01/04/2017 00:00,01/04/2018 18:52,1072,0,266866,259666,259666,6,2020-04-17T04:00:00Z,2020-04-18T22:52:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a185c582ec6d052ead9b88a7e5a25c27cad4d89d
6,CO,9433,1,1,1,1,A,4,35173,0,843,1797,0,0,0,0,0,01/04/2018 00:00,01/04/2018 22:26,411,1797,44606,44606,44606,8,2020-04-18T04:00:00Z,2020-04-19T02:26:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",9c71664393c1015491ec091ee9889072dde7f46e
7,CT,17550,1,1,1,1,A,4,40663,0,1938,0,0,0,0,0,0,01/04/2018 00:00,01/04/2018 22:42,1086,0,58213,58213,58213,9,2020-04-18T04:00:00Z,2020-04-19T02:42:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",eb95a8804158fd9b1b8bc83c216f4d9454eededb
8,DC,2666,1,1,1,1,A,4,10602,0,313,0,105,0,79,0,608,01/04/2017 00:00,01/04/2018 15:29,91,0,13268,13268,13268,11,2020-04-17T04:00:00Z,2020-04-18T19:29:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",9836e127cfb29ac8dbd92f24dc653538b6bfdde8
9,DE,2538,1,1,1,1,A,4,12256,0,249,0,0,0,0,0,466,01/04/2018 17:00,01/04/2018 22:44,67,0,14794,14794,14794,10,2020-04-18T21:00:00Z,2020-04-19T02:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f04002498da1e046967738d1cc25f933c7348553
10,FL,25492,1,1,1,1,A,4,225862,1214,0,3908,0,0,0,0,0,01/04/2018 16:24,01/04/2018 22:46,765,3908,252568,251354,251354,12,2020-04-18T20:24:00Z,2020-04-19T02:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",346f0224af1eb35378b5d5775d7945de11cb4c95
11,GA,17841,1,1,1,1,A,4,56539,0,0,3447,0,0,0,0,0,01/04/2018 18:28,01/04/2018 22:54,677,3447,74380,74380,74380,13,2020-04-18T22:28:00Z,2020-04-19T02:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",58e7ffc117a671b25b2d8596ce8eb55b6d2b510f
12,HI,564,1,1,1,1,A,4,22896,0,0,51,0,0,0,0,410,01/04/2018 18:30,01/04/2018 23:38,9,51,23460,23460,23460,15,2020-04-18T22:30:00Z,2020-04-19T03:38:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",419d1c73d2e7925904611eb5217dd0b9fb70f4e7
13,IA,2513,1,1,1,1,A,4,20434,0,193,0,84,0,51,0,1095,01/04/2017 12:00,01/04/2018 23:18,74,0,22947,22947,22947,19,2020-04-17T16:00:00Z,2020-04-19T03:18:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5d758eaa20327eb15ef331808f71bf4b9b39532e
14,ID,1668,1,1,1,1,A,4,15201,0,0,151,0,53,0,0,520,01/04/2018 19:00,01/04/2018 23:13,44,151,16869,16869,16869,16,2020-04-18T23:00:00Z,2020-04-19T03:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0d1d9be44fb4aa32d6237c8e5055f9b4d20d1d6c
15,IL,29160,1,1,1,1,A,4,108244,0,4340,0,1192,0,740,0,0,01/04/2018 00:00,01/04/2018 16:05,1259,0,137404,137404,137404,17,2020-04-18T04:00:00Z,2020-04-18T20:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",09ee6ac31c1657d678fca17cac336d47d7b2d075
16,IN,10641,1,1,1,0,B,3,46232,0,0,0,663,0,360,0,0,01/04/2017 23:59,01/04/2018 15:54,545,0,56873,56873,56873,18,2020-04-18T03:59:00Z,2020-04-18T19:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f8aec48409289ca99b70a4f7ef1d9d669a7e01b8
17,KS,1790,1,1,1,0,B,3,15886,0,0,383,0,0,0,0,0,01/04/2018 12:00,01/04/2018 15:55,86,383,17676,17676,17676,20,2020-04-18T16:00:00Z,2020-04-18T19:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5e2b1cbbd2905df3a6e35c1648312d4ac6a0d333
18,KY,2707,1,1,1,1,A,4,29518,0,274,1059,155,534,0,0,1174,01/04/2018 17:00,01/04/2018 22:45,144,1059,32225,32225,32225,21,2020-04-18T21:00:00Z,2020-04-19T02:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8c3e8b53fae63be4828cf699ed1a09bada075fca
19,LA,23580,1,1,1,1,A,4,114419,0,1761,0,0,0,347,0,0,01/04/2018 13:00,01/04/2018 15:20,1267,0,137999,137999,137999,22,2020-04-18T17:00:00Z,2020-04-18T19:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",50e8242e1e7cd1c3d7bc2505e4b63ef969705dce
20,MA,36372,1,1,0,1,B,3,120434,0,3729,0,987,0,0,0,0,01/04/2018 10:00,01/04/2018 23:13,1560,0,156806,156806,156806,25,2020-04-18T14:00:00Z,2020-04-19T03:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e990b1957b32867af7948c348e147387448813b6
21,MD,12308,1,1,1,1,A,4,53062,0,0,2757,0,0,0,0,771,01/04/2018 10:00,01/04/2018 15:41,463,2757,65370,65370,65370,24,2020-04-18T14:00:00Z,2020-04-18T19:41:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3a0b174064e41d533defe0fd755eb87ef21ef8d6
22,ME,847,1,1,1,1,A,4,14076,0,49,136,20,0,12,0,382,01/04/2018 15:00,01/04/2018 16:05,32,136,14923,14923,14923,23,2020-04-18T19:00:00Z,2020-04-18T20:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e441a363c8ff01cce71271a910319eecd7cc3cec
23,MI,30791,1,1,0,1,B,3,73233,0,3403,0,1344,0,1115,0,3237,01/04/2018 11:00,01/04/2018 23:49,2308,0,104024,104024,104024,26,2020-04-18T15:00:00Z,2020-04-19T03:49:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",05d84522edfbd01f4dc3b5eb56ad90d10fb41973
24,MN,2213,1,1,1,1,A,4,42055,0,239,561,111,215,0,0,1118,01/04/2017 17:00,01/04/2018 15:53,121,561,44268,44268,44268,27,2020-04-17T21:00:00Z,2020-04-18T19:53:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",b4745a2b1feb726deb4eae44a12199ac5ece84be
25,MO,5517,1,1,1,1,A,4,48242,0,875,0,0,0,0,0,0,01/04/2018 15:00,01/04/2018 15:45,175,0,53759,53759,53759,29,2020-04-18T19:00:00Z,2020-04-18T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f5194aab86d3029664dbea985288de14c30b7d89
26,MS,3974,1,1,1,1,A,4,34791,0,0,782,154,0,99,0,0,01/04/2017 19:00,01/04/2018 23:37,152,782,38765,38765,38765,28,2020-04-17T23:00:00Z,2020-04-19T03:37:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",44f219854c697b0a6c331790c81b551c0ddfc9c0
27,MT,426,1,1,1,1,A,4,10143,0,17,55,0,0,0,0,234,01/04/2018 10:18,01/04/2018 15:34,10,55,10569,10569,10569,30,2020-04-18T14:18:00Z,2020-04-18T19:34:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f5b6442dcdb019acb044863abb3995f60027b805
28,NC,6140,1,1,1,1,A,4,70071,0,388,0,0,0,0,0,0,01/04/2018 11:00,01/04/2018 14:56,164,0,76211,76211,76211,37,2020-04-18T15:00:00Z,2020-04-18T18:56:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",232e1d026f04f30e61ae91a1c8b7079fe0186a58
29,ND,528,1,1,1,0,B,3,12435,0,13,47,0,0,0,0,183,01/04/2018 13:08,01/04/2018 14:58,9,47,12963,12963,12963,38,2020-04-18T17:08:00Z,2020-04-18T18:58:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",b80ea5bbe0056756a85c2f85e25efb3f44a09e0d
30,NE,1287,1,1,1,1,A,4,13288,0,0,0,0,0,0,0,0,01/04/2018 19:45,01/04/2018 23:40,28,0,14575,14575,14575,31,2020-04-18T23:45:00Z,2020-04-19T03:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1d283bdd7ee8a5ac5e3f3d9f3aa7aa4cfe457f2f
31,NH,1342,1,1,1,0,B,3,12082,316,85,192,0,0,0,0,513,01/04/2018 09:00,01/04/2018 23:35,38,192,13740,13424,13424,33,2020-04-18T13:00:00Z,2020-04-19T03:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",da7f6eade74e30619d94b86063b3b5ac0958b7a0
32,NJ,81420,1,1,1,1,A,4,81116,0,7718,0,2024,0,1641,0,0,01/04/2018 12:49,01/04/2018 14:40,4070,0,162536,162536,162536,34,2020-04-18T16:49:00Z,2020-04-18T18:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5f0a2edce4840348269340e3191501f63cd2f4df
33,NM,1798,1,1,1,1,A,4,34834,0,92,258,0,0,0,0,465,01/04/2018 18:00,01/04/2018 23:36,53,258,36632,36632,36632,35,2020-04-18T22:00:00Z,2020-04-19T03:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d8b2f4843d6bdc0bb0e9959e2e2ee89d489f74a5
34,NV,3626,1,1,1,1,A,4,27125,0,0,0,0,0,0,0,0,01/04/2018 19:00,01/04/2018 23:33,155,0,30751,30751,30751,32,2020-04-18T23:00:00Z,2020-04-19T03:33:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7eb7e6a56dfe97ce40622ec63580868aa56e6757
35,NY,236732,1,1,1,1,A,4,359800,0,16967,54339,5016,0,0,0,23887,01/04/2018 00:00,01/04/2018 23:59,13362,54339,596532,596532,596532,36,2020-04-18T04:00:00Z,2020-04-19T03:59:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",92ee6dc4b173c977d5d7d1122d4e9a8422a361b2
36,OH,9939,1,1,0,1,B,3,68819,0,0,2519,0,760,0,0,0,01/04/2018 14:00,01/04/2018 14:04,451,2519,78758,78758,78758,39,2020-04-18T18:00:00Z,2020-04-18T18:04:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",b497f6567d23e38f41d3c8a3b6b02fb0fcfc2358
37,OK,2570,1,1,0,1,B,3,32966,0,307,541,136,0,0,0,1515,01/04/2018 00:00,01/04/2018 14:30,139,541,35536,35536,35536,40,2020-04-18T04:00:00Z,2020-04-18T18:30:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",547c9be21442cdbc336151896ac401b2b5067ad0
38,OR,1844,1,1,1,1,A,4,35739,0,290,449,74,0,37,0,0,01/04/2018 11:00,01/04/2018 16:07,72,449,37583,37583,37583,41,2020-04-18T15:00:00Z,2020-04-18T20:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",37509c0dfb3f468099cede13dbdd1d73c0e47be2
39,PA,31069,1,1,1,1,A,4,122896,0,2613,0,0,0,660,0,0,01/04/2018 12:00,01/04/2018 14:10,836,0,153965,153965,153965,42,2020-04-18T16:00:00Z,2020-04-18T18:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",44413d63687cbb8cbcc8089a8f3f70fca1d29c71
40,RI,4491,1,1,1,0,B,3,28335,0,255,331,67,0,43,0,217,01/04/2018 12:00,01/04/2018 15:07,137,331,32826,32826,32826,44,2020-04-18T16:00:00Z,2020-04-18T19:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",05f99aaf45fc8aab0df84dbd3568affce4ae42f1
41,SC,4246,1,1,1,0,B,3,34587,0,0,776,0,0,0,0,2633,01/04/2018 15:25,01/04/2018 16:05,119,776,38833,38833,38833,45,2020-04-18T19:25:00Z,2020-04-18T20:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d589ccce8cfc11090570620eb6436719426aa25e
42,SD,1542,1,1,1,1,A,4,10118,1,0,68,0,0,0,0,552,01/04/2017 18:00,01/04/2018 22:38,7,68,11661,11660,11660,46,2020-04-17T22:00:00Z,2020-04-19T02:38:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e52119f0711a228af5674edbaba459cf673cc027
43,TN,6762,1,1,1,1,A,4,83824,0,0,719,0,0,0,0,3234,01/04/2018 15:00,01/04/2018 15:52,145,719,90586,90586,90586,47,2020-04-18T19:00:00Z,2020-04-18T19:52:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",78a980cd87fc81d3b2a87f2d73f461eadc4e36bc
44,TX,18260,1,1,1,1,A,4,157979,0,1321,0,0,0,0,0,4806,01/04/2018 13:45,01/04/2018 14:17,453,0,176239,176239,176239,48,2020-04-18T17:45:00Z,2020-04-18T18:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1b58166f90f053bdc11fe14744f708b84e9f608c
45,UT,2931,1,1,1,1,A,4,57013,0,0,251,0,0,0,0,565,01/04/2018 15:00,01/04/2018 14:11,25,251,59944,59944,59944,49,2020-04-18T19:00:00Z,2020-04-18T18:11:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",c634cf1548d743714f207df648052596548d0d2a
46,VA,8053,1,1,1,1,A,4,43878,486,1307,1296,398,0,230,0,1228,01/04/2017 17:00,01/04/2018 22:30,258,1296,52417,51931,51931,51,2020-04-17T21:00:00Z,2020-04-19T02:30:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",fcb0f3d51c64375d5695a823712ccd2d652b3672
47,VT,803,1,1,1,1,A,4,11763,0,56,0,0,0,0,0,15,01/04/2018 09:50,01/04/2018 14:21,38,0,12566,12566,12566,50,2020-04-18T13:50:00Z,2020-04-18T18:21:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",feee9551da41e923177d3dd14834a6c22049afaf
48,WA,11802,0,1,0,1,C,2,123904,0,586,0,193,0,0,0,0,01/04/2018 02:59,01/04/2018 23:22,624,0,135706,135706,135706,53,2020-04-18T06:59:00Z,2020-04-19T03:22:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",afe7b64c8c7908a8d6f80374e4e76de533d9019a
49,WI,4199,1,1,1,1,A,4,43962,229,361,1176,135,307,0,0,0,01/04/2018 12:45,01/04/2018 15:37,211,1176,48390,48161,48161,55,2020-04-18T16:45:00Z,2020-04-18T19:37:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",86043869d26406ad8a7fd7d05ab9fa9d56c780d1
50,WV,825,1,1,1,0,B,3,18969,0,72,0,37,0,25,0,265,01/04/2018 17:00,01/04/2018 23:57,18,0,19794,19794,19794,54,2020-04-18T21:00:00Z,2020-04-19T03:57:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",78019af3262d346573aa02e201817ef78d4085d3
51,WY,309,1,1,1,1,A,4,6972,0,19,50,0,0,0,0,227,01/04/2018 14:20,01/04/2018 23:13,2,50,7281,7281,7281,56,2020-04-18T18:20:00Z,2020-04-19T03:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3bc1e5cc0d97aab43948f11450a3164616ea4a0e
52,PR,1118,1,1,1,1,A,4,8055,1760,0,0,0,0,0,0,0,01/04/2018 07:00,01/04/2018 22:42,60,0,10933,9173,9173,72,2020-04-18T11:00:00Z,2020-04-19T02:42:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5e7cc12e9547a78dbd5d2c83bbad071010dcde05
52,AS,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,04/06/2020 00:00,01/04/2018 15:35,0,0,20,3,3,60,2020-04-06T04:00:00Z,2020-04-18T19:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",34543c1d9e023ff07c911e2a3c30514e79de44ac
53,GU,136,0,0,0,0,0,0,943,0,6,0,2,0,0,0,110,01/04/2018 06:50,01/04/2018 15:45,5,0,1079,1079,1079,66,2020-04-18T10:50:00Z,2020-04-18T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4f647d2f9c72f364e71b786c722587b54c4b5051
54,MP,14,0,0,0,0,0,0,42,4,0,0,0,0,0,0,9,01/04/2017 19:15,01/04/2018 15:55,2,0,60,56,56,69,2020-04-17T23:15:00Z,2020-04-18T19:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a598f7ab4d054ecbcf925b2ca22cc88d92c8bf52
55,VI,53,0,0,0,0,0,0,548,22,0,0,0,0,0,0,48,01/04/2018 20:30,01/04/2018 23:23,3,0,623,601,601,78,2020-04-19T00:30:00Z,2020-04-19T03:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",fa3bc0bd70bffc84078608cbd7e3a6992b91c831
